player_id,full_name,position,team,week,fanduel_points,opponent,home_team,away_team,prev_fanduel_points,mean_fanduel_points,prev_fumbles_lost,mean_fumbles_lost,prev_fumbles_tot,mean_fumbles_tot,prev_passing_att,mean_passing_att,prev_passing_cmp,mean_passing_cmp,prev_passing_cmp_air_yds,mean_passing_cmp_air_yds,prev_passing_incmp,mean_passing_incmp,prev_passing_incmp_air_yds,mean_passing_incmp_air_yds,prev_passing_int,mean_passing_int,prev_passing_sk,mean_passing_sk,prev_passing_sk_yds,mean_passing_sk_yds,prev_passing_tds,mean_passing_tds,prev_passing_yds,mean_passing_yds,prev_receiving_rec,mean_receiving_rec,prev_receiving_tar,mean_receiving_tar,prev_receiving_tds,mean_receiving_tds,prev_receiving_yac_yds,mean_receiving_yac_yds,prev_receiving_yds,mean_receiving_yds,prev_rushing_att,mean_rushing_att,prev_rushing_loss,mean_rushing_loss,prev_rushing_loss_yds,mean_rushing_loss_yds,prev_rushing_tds,mean_rushing_tds,prev_rushing_yds,mean_rushing_yds
00-0019596,Tom Brady,QB,NE,1,27.62,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0020712,James Harrison,OLB,PIT,1,0.0,NE,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022874,Josh Scobee,K,NO,1,8.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022900,Will Allen,UNK,UNK,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022924,Ben Roethlisberger,QB,PIT,1,17.04,NE,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023465,Heath Miller,UNK,UNK,1,12.4,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024242,DeAngelo Williams,RB,PIT,1,13.7,NE,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024333,Stephen Gostkowski,K,NE,1,4.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024349,Rob Ninkovich,DE,NE,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025402,Lawrence Timmons,ILB,PIT,1,0.0,NE,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025420,Alan Branch,DT,NE,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025516,Scott Chandler,UNK,UNK,1,6.6,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025534,Tarell Brown,UNK,UNK,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025557,William Gay,CB,PIT,1,0.0,NE,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026035,Danny Amendola,WR,NE,1,3.4,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026150,Jerod Mayo,UNK,UNK,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026247,Cody Wallace,C,PIT,1,0.0,NE,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026293,Matthew Slater,WR,NE,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026564,Steve McLendon,DT,NYJ,1,0.0,PIT,NE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
